date,product_id,product_name,category,price,base_price,cost_price,competitor_price,discount_percent,stock_level,rating,review_count,ad_spend_usd,holiday_effect,customer_segment,season,month,day_of_week,day_of_week_name,day_of_month,is_weekend,historical_demand_7d,historical_demand_30d,demand_units,revenue,profit
2025-01-01,APP_001,Premium Merino Wool Sweater,Apparel & Fashion,78.04,79.99,28.0,82.6,0.0,354,4.22,383,116.35,0.0,Budget,Winter,1,2,Wednesday,1,0,55.0,55.0,80,6243.2,4003.2
2025-01-01,APP_002,Breathable Performance Running Shoes,Apparel & Fashion,120.06,119.99,42.0,108.42,0.0,560,4.55,518,164.48,0.0,Standard,Winter,1,2,Wednesday,1,0,75.0,75.0,89,10685.34,6947.34
2025-01-01,APP_003,Classic Waterproof Trench Coat,Apparel & Fashion,145.14,149.99,55.0,160.8,0.0,420,4.69,374,82.69,0.0,Premium,Winter,1,2,Wednesday,1,0,25.0,25.0,35,5079.9,3154.9
2025-01-01,ELEC_001,Pro Wireless Noise-Cancelling Headphones,Electronics,201.93,199.99,85.0,194.49,0.0,341,4.4,525,146.22,0.0,Budget,Winter,1,2,Wednesday,1,0,45.0,45.0,61,12317.73,7132.73
2025-01-01,ELEC_002,Ultra HD 4K Smart TV 55-inch,Electronics,569.85,549.99,280.0,480.77,0.0,593,4.42,432,150.26,0.0,Premium,Winter,1,2,Wednesday,1,0,20.0,20.0,21,11966.85,6086.85
2025-01-01,ELEC_003,Smart Fitness Watch Gen-4,Electronics,131.28,129.99,50.0,127.68,0.0,511,4.06,435,154.11,0.0,Budget,Winter,1,2,Wednesday,1,0,60.0,60.0,87,11421.36,7071.36
2025-01-01,ELEC_004,Ergonomic Mechanical Keyboard,Electronics,91.01,89.99,35.0,92.08,0.0,656,4.32,408,139.92,0.0,Budget,Winter,1,2,Wednesday,1,0,40.0,40.0,59,5369.59,3304.59
2025-01-01,HOME_001,Espresso Machine & Milk Frother,Home & Living,152.0,159.99,65.0,165.26,0.0,625,4.6,544,193.02,0.0,Premium,Winter,1,2,Wednesday,1,0,30.0,30.0,43,6536.0,3741.0
2025-01-01,HOME_002,Cordless Handheld Vacuum Cleaner,Home & Living,96.27,99.99,40.0,97.56,0.0,313,4.35,480,219.29,0.0,Budget,Winter,1,2,Wednesday,1,0,45.0,45.0,70,6738.9,3938.9
2025-01-01,HOSP_001,Deluxe City Center King Room (Per Night),Hospitality & Stays,167.52,175.0,45.0,177.44,0.0,733,4.43,656,143.45,0.0,Standard,Winter,1,2,Wednesday,1,0,85.0,85.0,136,22782.72,16662.72
